ID,Pan Weight,Initial,Final,Soil Moisture Content,(wet soil mass - dry soil mass) / (dry soil mass)
OPS 1-1,3.4,50,47.7,0.13,
OPS 1-2,3.5,50,48.3,0.12,
OPS 1-3,3.4,50,47.4,0.14,
OPS 2-1,3.4,50,47.4,0.14,
OPS 2-2,3.4,50,42.7,0.27,
OPS 2-3,3.4,50,45.7,0.18,
OPS 3-1,3.4,50,47.9,0.12,
OPS 3-2,3.4,50,44.1,0.23,
OPS 3-3,3.4,50,45.5,0.19,
MFW 1-1,3.4,50.4,43.7,0.25,
MFW 1-2,3.3,50,43.8,0.23,
MFW 1-3,3.4,50,41.8,0.30,
MFW 2-1,3.4,50,40,0.37,
MFW 2-2,3.4,50,37.3,0.47,
MFW 2-3,3.6,50,24.6,1.38,
MFW 3-1,3.5,50,40.6,0.35,
MFW 3-2,3.4,50,28.9,0.96,
MFW 3-3,3.4,50,33.5,0.66,
