Quadrat_ID,Ecosystem,Transect,Elevation,Soil_Moisture,Lyonia_lucida,Rhus_copallina,Galactia_elliottii,Serenoa_repens,Vitis_rotundifolia,Cavvinium_myrsinites,Andropogon_virginicus,Panicum_oligosanthes,Solidago_rigida,Eupatorium_rotundifolium,Quercus_virginiana,Anchistea_virginica,Gordonia_lasianthus,Morella_cerifera,Pteridium_aquilinum,Nephrolepis_cordifolia,Smilax_rotundifolia,Quercus_laurifolia,Smilax_auriculata,Telmatoblechnum_serrulatum,Woodwardia_areolata,Osmunda_cinnamomea,Prunus_laurocerasus,Pinus_elliottii,Unknown_vine,Unknown_grass,Unknown_woody-stemmed,Unknown_herbacious
1,Scrub,1,25,0.13,49,22,,1,,,2,5,,,,,,,,,,,,,,,,,,,,
2,Scrub,1,25,0.12,4,4,,,,6,,,,,,,,,,,,,,,,,,,,,,
3,Scrub,1,19,0.14,17,7,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
4,Scrub,2,27,0.14,1,5,,,7,,3,2,,,3,,,,,,,,,,,,,,7,,,
5,Scrub,2,26,0.27,1,3,,,2,,2,2,,,19,2,,,,,,,,,,,,,,,,
6,Scrub,2,20,0.18,3,3,,6,6,,2,2,1,3,,,,,,,,,,,,,,,,,,
7,Scrub,3,28,0.12,11,4,,1,1,,,1,,,2,,,,,,,,,,,,,,7,1,,
8,Scrub,3,21,0.23,8,2,,3,,,,,,,,,,,,,,,,,,,,,,,,
9,Scrub,3,26,0.19,24,,,,,,,1,,,7,,,,,,,,,,,,,,3,,,
10,Flatwoods,1,21,0.25,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11,Flatwoods,1,20,0.23,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,2,
12,Flatwoods,1,21,0.3,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
13,Flatwoods,2,22,0.37,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,
14,Flatwoods,2,22,0.47,,,,1,,,,,,,,,13,,1,2,,,,,,,,,,,,
15,Flatwoods,2,21,1.38,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1
16,Flatwoods,3,23,0.35,,,,1,1,,,,,,,,,,,,1,6,,,,,,,,,,
17,Flatwoods,3,24,0.96,,,,,2,,,,,,,,,,,,,,1,3,,,7,1,,,,
18,Flatwoods,3,20,0.66,,,,,,,,,,,,,,,,,,,,,18,4,,,,,,
